Comment,Designator,Footprint,LCSC
"Battery 3V","BT1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"22pF","C1,C2","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"10uF","C3","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"LED","D1","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"Digital pins","J1","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical",""
"Serial port","J2","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"I2C","J3","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"ICSP","J4","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical",""
"330Ohm","R1","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"10KOhm","R2","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"24LC1025","U1,U2","Package_SO:SOIJ-8_5.3x5.3mm_P1.27mm",""
"DS1337_custom","U3","Package_SO:SO-8_5.3x6.2mm_P1.27mm",""
"ATMEGA328P-AU","U4","digikey-footprints:TQFP-32_7x7mm",""
"32MHz","Y1","Crystal:Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm_HandSoldering",""
"16MHz","Y2","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm",""